study,soil_texture,citation,sampling_year,main_rooting_zone_(cm),sand,silt,clay,bd_(g_m3),som_(g_g),soc_(g_g),soil_total_c_(g_g),soil_total_n_(g_g),soil_cn,ph_h2o,ph_cacl2,other_info
irri_1994wet,NA,gaihre_et_al_2014,NA,NA,17.5,44,22.5,1150000,NA,0.0125,NA,0.0015,8.33,6.6,NA,aquandic_epiaquoll
irri_1995dry,NA,gaihre_et_al_2014,NA,NA,17.5,44,22.5,1150000,NA,0.0125,NA,0.0015,8.33,6.6,NA,aquandic_epiaquoll
irri_2010wet,NA,gaihre_et_al_2014,NA,NA,17.5,44,22.5,1150000,NA,0.0125,NA,0.0015,8.33,6.6,NA,aquandic_epiaquoll
irri_2011dry,NA,gaihre_et_al_2014,NA,NA,17.5,44,22.5,1150000,NA,0.0125,NA,0.0015,8.33,6.6,NA,aquandic_epiaquoll
matta,clay,NA,NA,NA,19,29.2,51.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
aksu,loam,li_et_al_2012,NA,NA,20,75,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
lahav,clay_loam,NA,NA,NA,22.6,39.7,37.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
pinemap_virginia,silt_loam,will_et_al_2015,2012,NA,25.1,42,32.9,NA,NA,NA,0.0235,0.00085,27.64705882,4.22,NA,NA
puechabon,silty_clay_loam,gavinet_et_al_2019,NA,NA,26,35.2,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
puechabon_state_forest,silty_clay_loam,limousin_et_al_2009,2003,NA,26,38.8,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
alberta,NA,flanagan_et_al_2013,2011,NA,28.8,40,31.2,NA,0.052,NA,NA,NA,NA,NA,NA,orthic_dark-brown_chernozem
ngpl,clay_loam,NA,NA,NA,28.8,40,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
freiburg,NA,kubert_et_al_2019,NA,20,30,51,20,NA,0.05,0.027,0.027,0.0021,12.85714286,NA,NA,anthrosol
sulawesi,clay_loam,moser_et_al_2014,2007,NA,30,40,30,NA,NA,NA,NA,NA,13,4.4,NA,NA
reckenholz,NA,hofer_et_al_2017,NA,NA,32,42,26,NA,0.028,NA,NA,NA,NA,6.9,NA,brown_earth
jbpf,clay_loam,mariotte_et_al_2017,NA,NA,34,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
riceface_zhongcun_2013,sandy_loam,chen_et_al_2015,2002,NA,35,NA,NA,1160000,NA,0.0184,NA,0.00145,12.68965517,6.8,NA,shajiang-qquic_cambisol
gpa,silt_loam,NA,NA,NA,35.3,55,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
kffl,silt_loam,NA,NA,NA,36,55,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
riceface_japan_a_1999_3538_13960,NA,yamakawa_et_al_2004,1999,NA,36,40,23,NA,NA,NA,NA,NA,10.86294416,NA,NA,fluvisol
songen,NA,zhang_et_al_2015,2010,NA,36,40,23,NA,NA,NA,0.0214,0.00197,10.86294416,NA,NA,fluvisol;soda-saline
kisa_grahamiana,NA,bunemann_et_al_2004,1997,NA,37,24,39,NA,NA,NA,NA,NA,NA,NA,NA,kaolinitic_isohyperthermic_kandiudalfic_eutrudox
kisa_mays,NA,bunemann_et_al_2004,1997,NA,37,24,39,NA,NA,NA,NA,NA,NA,NA,NA,kaolinitic_isohyperthermic_kandiudalfic_eutrudox
pinemap_georgia,clay_loam,will_et_al_2015,2012,NA,37.6,35.2,27.2,NA,NA,NA,0.012,0.000685,17.51824818,4.84,NA,NA
aranjuez,sandy_loam,ladron_de_guevara_et_al_2014,NA,30,42.6,52.2,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
riceface_shizukuishi_a_2000,NA,anten_et_al_2003,2000,NA,43,31,26,NA,NA,NA,NA,NA,16.06625259,6.3,NA,andosol_paddy_soil
prades,loam,NA,NA,100,45,34,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,sandy_loam,NA,NA,30,47.4,46.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
massif_central_extreme,sandy_loam,zwicke_et_al_2013,NA,NA,50,24,25,NA,NA,NA,NA,NA,9.6,5.9,NA,NA
sulawesicacao,sandy_loam,van_straaten_et_al_2010,NA,100,55,29.65,15.4,1310000,NA,NA,0.0107,0.001,10.7,5.6,NA,NA
clermont,sandy_clay_loam,NA,NA,NA,58.6,21.4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
redon,NA,roy_et_al_2016,NA,NA,59.5,19.2,21.4,NA,NA,NA,NA,NA,NA,5.9,NA,cambisol
imgers_2007,sandy_clay_loam,peng_et_al_2011,2007,NA,60,19,21,NA,NA,0.0199,NA,0.00188,10.6,NA,NA,calci_orthic_aridisol
balsablanca,sandy_loam,NA,NA,30,61.4,24,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
balsablanca_alt50,sandy_loam,NA,NA,30,61.4,24,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
balsablanca_alt75,sandy_loam,NA,NA,30,61.4,24,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
bigbend,sandy_loam,NA,NA,NA,62,30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
phace,loam,dijkstra_et_al_2012,NA,NA,62,23,15,1200000,NA,NA,NA,NA,11.67578125,NA,NA,fine_loamy_mixed_mesic_aridic_argiustoll
pinemap_oklahoma,sandy_loam,will_et_al_2015,2012,NA,62.2,25.6,12.2,NA,NA,NA,0.00865,0.0006,14.41666667,4.65,NA,fine_sandy_loam
duolun4,NA,chen_et_al_2009,NA,NA,62.75,20.3,16.95,1310000,NA,NA,NA,NA,NA,NA,NA,calcic_luvisol
duolun7,NA,niu_et_al_2010,2005,NA,62.75,20.3,16.95,NA,NA,0.01228,NA,0.00028,NA,7.12,NA,haplic_calcisols
flakaliden,sandy_loam,hyvoenen_et_al_2008,2003,NA,63.98080682,32.80036575,3.218827433,NA,0.054996743,0.027518949,0.027518949,0.091479179,27.6,5,NA,NA
rosinedal,sandy_loam,lim_et_al_2017,NA,NA,63.98080682,32.80036575,3.218827433,NA,0.054996743,0.027518949,0.027518949,0.091479179,27.6,5,NA,NA
haskell_greenhouse,NA,leskovsek_et_al_2012,2009,NA,64,20,16,NA,0.036,NA,NA,NA,NA,6.6,NA,cumulic_haplustoll
quintos_de_mora,sandy_loam,hinojosa_et_al_2016,NA,NA,68,18,14,NA,NA,NA,NA,NA,11.5,6.5,NA,NA
sevilleta1,sandy_loam,NA,NA,40,68,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
sevilleta2,sandy_loam,NA,NA,40,68,22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
imgers_hg_d_2007,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_hg_d_2008,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_lg_d_2007,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_lg_d_2008,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_mg_d_2007,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_mg_d_2008,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_ng_d_2007,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
imgers_ng_d_2008,sandy_loam,gong_et_al_2015,2007,NA,68.1,20.9,11,NA,NA,NA,NA,NA,NA,6.6,NA,NA
losalamos2012,clay_loam,grossiord_et_al_2018,NA,NA,70,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
paracou,NA,bréchet_et_al_2019,2017,NA,77.84,5.525,16.635,NA,0.029585,0.0171,0.0171,0.0012,14.25,NA,NA,nutrient-poor_acrisols
caxiuana,sandy_loam,fisher_et_al_2007,2001,NA,78,15,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
eucface,loamy_sand,jiang_et_al_2020,NA,NA,80,15,5,1596667,NA,NA,NA,NA,14.70816667,5.57,NA,NA
herdade,loamy_sand,NA,NA,NA,81,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bayreuth_event1,loamy_sand,mirzaei_et_al_2008,NA,NA,82,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
bayreuth_event1_g,loamy_sand,kreyling_et_al_2008,NA,NA,82,13,5,NA,NA,NA,NA,0.0007,NA,NA,NA,NA
bayreuth_event1_h,loamy_sand,kreyling_et_al_2008,NA,NA,82,13,5,NA,NA,NA,NA,0.0007,NA,NA,NA,NA
garraf,NA,ignace_et_al_2007,2001,NA,84,6,10,NA,NA,NA,NA,NA,NA,NA,NA,holocene_aged_alluvial_surface_poorly_developed_and_textually_homogenous_soil
climaite,sand,NA,NA,30,88.02052,9.6699,2.30527,NA,NA,NA,NA,NA,NA,NA,NA,NA
ua2008,sand,dreesen_et_al_2012,2008,80,96,1.5,2.5,NA,NA,NA,0.013,NA,NA,NA,NA,NA
kiskunsag,sand,NA,NA,NA,97.2,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
pinemap_florida,sand,will_et_al_2015,2012,NA,97.2,1.4,1.4,NA,NA,NA,0.0168,0.000585,28.71794872,5.53,NA,fine_sand
turkeypoint,sand,NA,NA,30,98,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.27_52.18,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.52_52.27,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.18_7.63,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.35_78.51,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.72_-95.34,clay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,expansive_lake_charles_clay_vertisols
33.45_-88.79,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33.61_150.74,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33.77_151.11,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-33.86_151.21,sandy_clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.2_106.43,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.24_108.06_cotton,loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.24_108.06_maize,loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.24_108.06_wheat,loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.26_108.07,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat-moss
35.03_-97.48,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35.2_-101.91,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kendrick_fine_sand
36.01_-78.93,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37.54_-122.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_haplustept
-37.54_145.8,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39.09_-96.58,silty_clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39.19_-96.58,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,potting_soil
39.8_116.47_leymus,NA,song_et_al_2016,NA,NA,NA,NA,NA,NA,NA,0.0123,NA,0.00145,8.482758621,NA,NA,obtained_from_a_natural_field_grassland
4.58_50.69,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,potting_soil
40.4_-86.9,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40_116.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,paddy_soil
41.2_-95.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_sand_3:6
-43.03_171.76,silt_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47.26_8.31,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48.42_-89.26_2004,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
48.42_-89.26_2005,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
48.42_-89.26_black_spruce_2003,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
48.42_-89.26_jack_pine_2003,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
48.42_-89.26_white_birch_2003,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
48.42_-89.26_white_spruce_2003,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss_and_vermiculite
50.55_11.35,loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50.58_3.48,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,standard_potting_soil
51.08_-114.13,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,peat_moss
56.17_10.2,organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,commercial_peat
abag,NA,bai_et_al_2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calci_orthic_aridisol
adelaide_puls,sandy_loam,bowles_et_al_2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,NA,NA
alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_cryofluvents
almeria,silt_loam,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,clay,NA,NA,120,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,silt_loam,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
almeria,clay_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alp_weissenstein,sandy_loam,NA,NA,30,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
andes,NA,homeier_et_al_2012,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols_developed_on_paleozoic_metamorphosed_schists_and_sandstones
ardmore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,normangee
asa,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
aseda,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
axalp_abies,NA,braun_et_al_2010,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,6.8,NA,rendzic_leptosol
bangorface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dystric_cambisol
bayreuth_event1,loamy_sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bergur,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,humous_sandy_loam
biforface,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orthic_luvisol
birmensdorf,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birmensdorf_a,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
birmensdorf_c,sandy_loam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bister_breite,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,6.9,NA,NA
bister_chumme,loamy_sand,zeiter_et_al_2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,7.1,NA,NA
bleckstugan,NA,hyvoenen_et_al_2008,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cambisols
bonanza_creek_2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,typic_cryofluvents
bordeaux,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,humic_podzol
