response,description
total_biomass_cp,total_biomass_carbon_to_phosphorus_ratio
total_biomass_group,total_biomass_of_plant_species_or_functional_group
total_biomass_n_stock,total_biomass_nitrogen_stock
total_biomass_np,total_biomass_nitrogen_to_phosphorus_ratio
total_biomass_p_stock,total_biomass_phosphorus_stock
total_biomass_production,total_biomass_production
vcmax,leaf_maximum_carboxylation_rate
vcmaxjmax,vcmax_jmax_ratio
wood_biomass,wood_biomass
wood_c,wood_carbon
wood_cn,wood_carbon_to_nitrogen_ratio
wood_k,wood_potassium
wood_n,wood_nitrogen
wood_p,wood_phosphorus
wue,water_use_efficiency
wue_eco,ecosystem_water_use_efficiency
wue_leaf,leaf_water_use_efficiency
